gene,scale_w
ABCC1,0.323308270676692
ADH5,0.0390553185471516
AKR1A1,0.00546821599453178
AKR7A2,0.00429645542427497
APIP,0.0225563909774436
ATIC,0.0120300751879699
ATP5F1A,0.0296625710618008
ATP5MC1,0.0300751879699248
ATP5MC3,0.0131578947368421
ATP5ME,0.0370156159629844
ATP5PO,0.887218045112782
CLNS1A,0.00231347599768652
COMT,0.0171858216970999
COX5A,0.0816326530612245
DCK,0.0601503759398496
DDX39B,0.00429645542427497
DECR1,0.0205777601899486
ETHE1,0.0413533834586466
FBL,0.0100250626566416
FUS,0.210526315789474
GALM,0.210526315789474
GAPDH,0.033297529538131
GLRX,0.0977443609022556
GLS,0.0977443609022556
GPS2,0.00486510393631137
GSTO1,0.000699422976044762
HPRT1,0.00610902255639098
IDH2,0.661654135338346
IQGAP1,0.154135338345865
LAMTOR4,0.0143837855508336
LDHB,0.0037593984962406
LSM2,0.00107411385606874
LSM6,0.0018796992481203
LTA4H,0.018796992481203
NDUFA11,0.120300751879699
NDUFA12,0.0032513716724243
NDUFA9,0.0143837855508336
NDUFB1,0.0225563909774436
NDUFB3,0.00912996777658432
NDUFB5,0.0075187969924812
NDUFB7,0.0575214259424786
NDUFC2,0.0464798359535202
NDUFS2,0.120300751879699
NDUFS6,0.00486510393631137
NEU1,0.661654135338346
NHP2,0.0171858216970999
NME2,0.0352884499578466
NME3,0.0067911714770798
NOSIP,0.0695488721804511
PARP8,0.120300751879699
PDHB,0.0272556390977444
PKM,0.010989010989011
PMVK,0.00231347599768652
POLR2G,0.0157211209842789
POLR3GL,0.0018796992481203
PPP1CA,0.0526315789473684
PSMA2,0.0601503759398496
PSMA4,0.000341763499658236
PSMA5,0.0037593984962406
PSMB8,0.0067911714770798
PSME2,0.0100250626566416
RAB27A,0.323308270676692
RPL26L1,0.0977443609022556
RPL36A,1
RPL37A,0.00829660357791029
RPL38,0.0032513716724243
RPL4,0.00146708233999633
RPL41,0.323308270676692
RPL9,0.00610902255639098
RPS10,0.154135338345865
RPS21,0.0247678018575851
RPS29,0.0526315789473684
SEC11C,0.0464798359535202
SHMT2,0.018796992481203
SMG1,0.0816326530612245
SMS,0.0120300751879699
SNRPA,0.033297529538131
SPCS3,0.0695488721804511
SRM,0.0075187969924812
SRSF1,0.0272556390977444
SRSF5,0.010989010989011
SUCLG1,0.00277008310249307
TALDO1,0.00912996777658432
TSPO,0.0425754789450406
TXN,0.0695488721804511
TYMP,0.154135338345865
U2AF1L4,0.0816326530612245
URM1,0
VAMP2,0.0413533834586466
YWHAH,0.0300751879699248
