gene,scale_w
ABHD3,0.0207106994459834
ACAT1,0.0144192718638702
ACAT2,0.00389542936288089
ACOT13,0.00459850685764475
ACOT7,0.0327216066481994
ACOT9,0.00672152517516702
ADAR,0.0295186980609418
ADAT2,0.205678670360111
AHCY,0.00328210644191666
AHR,0.135214681440443
AK6,0.00603070175438596
AKT2,0.00837950138504155
ARF3,0.0126686137540648
ARNTL,0.0165384895757399
ATP5MC1,0.000326474079936683
ATP5MC3,0.00121758775714091
ATP6V1C1,0.0244855559952513
B4GALT1,0.00886545992931512
CD38,0.128582776600945
CHERP,0.0764808742056379
CHST12,0.00512731728105689
CHST7,0.0497770948753463
CMAS,0.135214681440443
CMPK2,0.417070637119114
CNOT6L,0.0207106994459834
COX5A,0.0365650969529086
CREBBP,0.0309866978301016
CTSZ,0.417070637119114
CYB5A,0.0119027008310249
DCPS,0.00274238227146814
DCTD,0.205678670360111
DCTPP1,0.0972725335606222
DDHD1,0.0367199628626221
DDX39B,0.0295186980609418
DGKE,0.00938612979817966
DGKH,0.417070637119114
DHFR,0.0999826869806094
DHX38,0.00541259658842397
DKC1,0.00749870152354571
DNPH1,0.019156346749226
DTYMK,0.0546844083893945
DUT,0.0365650969529086
EBP,0.00485630193905817
ENO1,0.0105476241210313
ENTPD1,0.00994536780547861
ENTPD4,0.019156346749226
EP300,0.0365650969529086
EXOC4,0.0848832607835378
EXOC7,0.0788434903047091
EXOSC8,0.00792489500491466
EZH2,0.0471346952908587
FAAH2,0.0448011476058567
FLAD1,0.0154259002770083
GALM,0.0177746999076639
GAPDH,0.0177746999076639
GCNT1,0.11564135118498
GEMIN7,0.00571329639889197
GGCT,0.0135041551246537
GK,0.0126686137540648
GLRX,0.0788434903047091
GNG5,0.00133310249307479
GNG8,0.0647506925207756
GOT2,0.00183641669964385
GPCPD1,0.0365650969529086
GPHN,0.0268085446409546
GSS,0.0268085446409546
GSTO1,0.000241406890094027
HACD1,0.0295186980609418
HADH,0.0207106994459834
HEATR1,0.0105476241210313
HELZ2,0.182190674053555
HIBCH,0.0070983379501385
HMGCS1,0.0119027008310249
ICMT,7.82643342313962e-05
IMPDH2,0.00347765867758641
INPP5D,0.00994536780547861
ITPKB,0.00837950138504155
ITPR2,0.0361104905727817
KMT2C,0.0271423465284604
LAMTOR2,0.0111980609418283
LDHA,0.00157608176521158
LMCD1,0.0232493456633273
LPCAT1,0.0224722991689751
LSM3,0.00197368421052631
LSM4,0.00512731728105689
MAGOHB,0.00257658465048069
MAN2A1,0.0334333641120345
MBTPS1,0.0412626962142198
MDH1,0.0105476241210313
MED13,0.0929362880886427
MED23,0.114075484764543
MRM3,0.0327216066481994
MTHFD1,0.0224722991689751
MTMR6,0.0105476241210313
MTR,0.00603070175438596
MYO5A,0.0999826869806094
NCOA2,0.0831326026737324
NCOA3,0.00886545992931512
NCOR2,0.0224722991689751
NDUFB3,0.00435298773248912
NDUFB7,0.0135041551246537
NHP2,0.0412626962142198
NME1,0.0788434903047091
NME2,0.00226375895050436
NOL12,0.0154259002770083
NOTCH1,0.0999826869806094
NSD1,0.00571329639889197
NUDT1,0.0295186980609418
NUP153,0.00411888810152677
NUP160,0.0244855559952513
NUP214,0.0327216066481994
NUP37,0.000596911564063339
NUP58,0.0144192718638702
NUP93,0.00837950138504155
NXF1,0.0588786934441366
OGT,0.0567434210526316
OXCT1,0.00672152517516702
PAFAH1B3,0.000791071809077349
PAICS,0.0412626962142198
PARP10,0.00938612979817966
PARP14,0.0949495449149189
PARP9,0.0647506925207756
PCBD1,0.0236328825158872
PDE3B,0.16773652248029
PDE4D,0.00792489500491466
PDHA1,0.000158702677746998
PGAM1,0.00938612979817966
PGAP1,1
PGS1,0.0365650969529086
PHKB,0.227930456334743
PIK3R5,0.0471346952908587
PIP4P1,0.0471346952908587
PIP5K1A,0.0165384895757399
PITPNB,0.00886545992931512
PKM,0.0467373419698832
PLIN2,0.0268085446409546
PMM1,0.0999826869806094
PMVK,0.0224722991689751
POLR2A,0.00749870152354571
POM121,0.0111980609418283
POP7,0.000692520775623269
PPIL1,0.00411888810152677
PRDM2,0.0652540067273447
PRKCD,0.0126686137540648
PRPF19,0.00541259658842397
PRPF3,0.0070983379501385
PSMA2,0.0154259002770083
PSMA4,0.0070983379501385
PSMA6,0.00145253298276914
PSMB2,0
PSMB5,0.00241716386106968
RANBP2,0.0119027008310249
RPL26L1,0.00368190212373038
RPL39L,0.0126686137540648
RRM1,0.0244855559952513
RRM2,0.417070637119114
SAMD8,0.00603070175438596
SEC11C,0.00211603570329332
SEC24A,0.0135041551246537
SELENOI,0.0999826869806094
SERINC5,0.276142659279778
SESN2,0.0207106994459834
SETD1B,0.0268085446409546
SETDB2,0.0546844083893945
SF3B1,0.0144192718638702
SHMT2,0.000504114388137526
SLC16A3,0.0327216066481994
SLC7A5,0.0471346952908587
SMG5,0.0788434903047091
SMG7,0.00459850685764475
SNRPA1,0.0144192718638702
SNRPE,0.00170396559265199
SQLE,0.019156346749226
SQOR,0.00110579930301135
SRSF6,0.0070983379501385
STARD7,0.0154259002770083
TALDO1,0.00291494714229182
TAZ,0.0327216066481994
THADA,0.00636624455876533
TK1,0.135214681440443
TPI1,0.00636624455876533
TPMT,0.0119027008310249
TSTA3,0.0207106994459834
TUT7,0.0295186980609418
TXN,0.00309470221606648
TYMP,0.0546844083893945
TYMS,0.205678670360111
UCK2,0.0647506925207756
VDAC1,0.00089270256232687
VDR,0.220257426688318
WBP4,0.000414006985426954
XPO1,0.0295186980609418
XRN1,0.0111980609418283
ZC3H11A,0.0154259002770083
