gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
BGN,2.05531667701539,7.07344195941315e-06,0.0001457657899112,3.8363443895713,Up-regulated
SLC27A2,2.00885355230149,5.18988111237746e-08,2.01274343620996e-06,5.69621158096806,Up-regulated
LFNG,1.56365885716378,2.01042750767283e-06,4.81847027654194e-05,4.31709081568261,Up-regulated
POMT2,1.51099771150877,0.0034454003158833,0.0261068993007655,1.58324470598375,Up-regulated
PPARG,1.42627425138074,1.2760987005643699e-11,1.65517507926144e-09,8.78115606114169,Up-regulated
CTSH,1.26060446854549,1.14812258181437e-07,4.21935048816783e-06,5.3747543976437,Up-regulated
DDAH2,1.17114729844022,0.0003041393164889,0.0037465206304924,2.42637187158467,Up-regulated
UPP1,1.16807096909518,4.94969763433505e-08,1.98437877885614e-06,5.70237542599937,Up-regulated
APOE,1.13945156762781,0.000934476014036,0.0092816198691413,2.03237622218233,Up-regulated
APOBEC3H,1.07569702955189,0.0001093290844569,0.0015552943950172,2.80818739311287,Up-regulated
CMPK2,1.0637028929242,0.0010397652662795,0.0100999225204687,1.99568195780765,Up-regulated
FAH,1.04101149492928,0.0003263168030195,0.003953453575045,2.40302335670716,Up-regulated
