cluster,sum_value,P.Val,Sig,adj.P,-log(adj.P),FC,log2FC
5,2.43533665682573,0.9957814255888,N.S.,1,0,0.792145884043055,-0.336161948920587
6,3.89069694303573,0.0189740982252488,Sig,0.0542117092149966,1.26590689984098,1.26553327271877,0.33974543850773
8,1.56677637788183,0.999999994061522,N.S.,1,0,0.509627880595642,-0.972483888531787
9,1.33441997902165,0.999999999821987,N.S.,1,0,0.434048939806378,-1.20407037656005
11,3.41183804937942,0.0122278174182654,Sig,0.040759391394218,1.38977230935909,1.10977406768891,0.150265996753941
13,3.08415178790051,0.47647396503198,N.S.,1,0,1.00318702866067,0.00459059913784807
14,2.48084238776913,0.999694079944588,N.S.,1,0,0.8069476065754,-0.309453089522683
17,3.63160281872438,6.6332577181316e-05,Sig,0.000265330308725264,3.57621313765315,1.18125730882781,0.240323255790441
18,4.46004053631983,4.85419377370512e-14,Sig,3.23612918247008e-13,12.4899741501889,1.45072458200335,0.536773651800818
21,7.29333449368689,1.51711606046911e-29,Sig,1.51711606046911e-28,27.8189811941023,2.37231467934034,1.24629539108653
22,4.17840030099408,2.08379417316465e-07,Sig,1.04189708658232e-06,5.98217517636922,1.35911500820216,0.442667542008597
23,7.31144100583279,2.8816113823679e-39,Sig,5.7632227647358e-38,37.2393345933935,2.37820421376284,1.24987260302861
27,1.79825680305524,0.999999999907881,N.S.,1,0,0.584921892010336,-0.773684108708949
28,1.68363066891946,1,N.S.,1,0,0.547637264398408,-0.868707475658911
30,1.32410454054856,1,N.S.,1,0,0.43069362048917,-1.21526614060595
31,1.67152934679414,1,N.S.,1,0,0.543701047823921,-0.879114486378131
34,3.35274205685905,0.0461137615461322,Sig,0.115284403865331,0.938229441823825,1.09055181884407,0.125058322948139
35,2.71960568380584,0.99397774713152,N.S.,1,0,0.884610529147494,-0.176885680755621
37,2.32055089057986,0.999999995056575,N.S.,1,0,0.754809332637094,-0.405815834023704
38,2.3062127286422,0.999999864456686,N.S.,1,0,0.750145535567466,-0.414757575181965
