gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
TSPOAP1,2.97257266654979,2.17828218284877e-06,5.05845529128214e-05,4.29598208412709,Up-regulated
SLC19A2,2.65948087853716,0.0005867286979094,0.0091512162584377,2.0385211814281,Up-regulated
CYP2U1,2.37179880819226,0.0001086817197939,0.0019751721249512,2.70439505210877,Up-regulated
B3GALNT2,2.34005010788772,0.0003680274285186,0.0060565143748338,2.21777724766493,Up-regulated
GCNT1,2.27942551305991,0.0033414985563008,0.0413238578856143,1.38379914068041,Up-regulated
SEPSECS,2.21329908664882,0.0001561430625186,0.0027892222278978,2.55451688246937,Up-regulated
ATP6V1A,2.10272192128429,4.10090851337953e-05,0.0008321260964041,3.07981085781617,Up-regulated
SYNJ1,2.00805240599376,8.64013393203868e-05,0.0016268360286451,2.78865621807929,Up-regulated
LGMN,1.98807368464861,0.0027468925769388,0.0354383054679142,1.45052705268591,Up-regulated
NEU1,1.9012192989493,6.05919861423944e-06,0.0001347204798272,3.8705663790366,Up-regulated
HMGCS1,1.86837380480021,1.19352718597086e-05,0.0002571620431627,3.58979313240968,Up-regulated
PDE8A,1.77154537245367,0.0009606176722992,0.014340649536468,1.84343117755836,Up-regulated
NCOA6,1.75400110334348,0.0013124881624477,0.0186605459831012,1.72907565351668,Up-regulated
MCCC1,1.67462941445244,0.0031570990298061,0.0395109998341011,1.40328198026695,Up-regulated
GNS,1.67061947225091,0.0018278540915943,0.0249687258263542,1.60260361947094,Up-regulated
PAPSS1,1.63912097771628,4.73823473447358e-05,0.0009342368485896,3.02954300707229,Up-regulated
EP300,1.5830156596987,3.10283149087042e-05,0.000642071070883,3.19241689718968,Up-regulated
TXNRD1,1.56206404863829,0.0002891374831926,0.0049349487535239,2.30671735285804,Up-regulated
HACD2,1.54592700990657,0.0017107300242126,0.0236783162291686,1.62564918363746,Up-regulated
PARP14,1.53799757127596,4.79737969893176e-05,0.0009370582776418,3.02823339857731,Up-regulated
LPCAT3,1.53509006028907,0.0001005304088018,0.0018593677380159,2.7306347087773,Up-regulated
MTMR3,1.50172094798513,0.0029478311458969,0.0377973441406417,1.42253871512537,Up-regulated
ADCY7,1.45421859118049,0.0025128229417559,0.0329013225866255,1.48278664367531,Up-regulated
GCH1,1.40450155932804,0.0003068659332775,0.005172175810887,2.28632672114656,Up-regulated
NCOA2,1.36118307045593,0.0030398309378217,0.0385045252124091,1.41448822739304,Up-regulated
MED13,1.34911583293683,0.0029845462479242,0.0380347662083031,1.41981924891747,Up-regulated
ABCC1,1.32844919612858,0.0005615477220209,0.0088243213460434,2.05431868503383,Up-regulated
NXF1,1.311547385339,0.0010416362747869,0.0154398568390412,1.81135673083336,Up-regulated
FUS,1.24946849074067,6.686377821327691e-15,2.05507788920219e-13,12.6871717133453,Up-regulated
IQGAP1,1.17361522334741,3.70663083024625e-05,0.000759495925021,3.11947455194685,Up-regulated
PARP8,1.1040079993706,0.0003215896017363,0.0053769781410321,2.26946172905169,Up-regulated
GLS,1.08537570196578,0.0003848538964061,0.0062352297944879,2.20514753630908,Up-regulated
SMG1,1.01829426782436,0.00361425141515,0.0444340321039031,1.35228427552749,Up-regulated
SPCS3,1.00614659167876,0.000461607685054,0.0074212312443298,2.1295240356565,Up-regulated
