gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
TK1,2.70570284624884,0.0114147064282583,0.0200645386333556,1.69757082203986,Up-regulated
TYMS,2.68537514664254,0.0461172242454647,0.0694416416952603,1.15838002039544,NS.
PCTP,2.41929713227711,9.25396142735021e-09,4.82313700328228e-08,7.31667040158124,Up-regulated
FUT7,2.30535283880653,0.00164679067240923,0.00360020136541349,2.44367320772099,Up-regulated
APOBEC3H,2.09148292493957,1.15562949241959e-07,5.06901948953094e-07,6.29507603898384,Up-regulated
KMT5A,2.05939461020993,1.57413202704106e-07,6.81146156628532e-07,6.16675968954578,Up-regulated
ESRRA,2.03513033702345,1.34172695504017e-09,7.78947037787208e-09,8.10849206989958,Up-regulated
PTDSS2,2.02830422914795,5.87650926726987e-08,2.74762961266086e-07,6.56104181164853,Up-regulated
DHTKD1,2.00810131534698,0.000222228377987177,0.000586435997466162,3.23177937905402,Up-regulated
MORC2,1.94714063206929,1.17289877651919e-06,4.57342993083042e-06,5.33975797032045,Up-regulated
MAN2A2,1.92376038159798,3.32878481409532e-05,0.000101712869319579,3.99262409406956,Up-regulated
ADAT2,1.90916136749217,9.18400259568418e-08,4.09265787313005e-07,6.38799455880501,Up-regulated
LMCD1,1.89477267626365,0.000214359119120305,0.000570714087848966,3.24358140693316,Up-regulated
GZMH,1.88186922520405,0.0286102266929653,0.0451643211944249,1.34520451269229,Up-regulated
PXMP2,1.86544501515474,1.38882924670101e-09,8.01837880001413e-09,8.09591343089044,Up-regulated
GTF2H4,1.82577976300623,1.06335536268695e-09,6.2252456807163e-09,8.20584350436493,Up-regulated
ENTPD1,1.82577971480802,0.00107140014357178,0.00242340508665046,2.61557398487506,Up-regulated
PUS7,1.79299095260938,0.000238474785412567,0.000623015376890331,3.20550123421369,Up-regulated
PPARA,1.77171253810512,2.59323146929214e-05,8.05327454802464e-05,4.09402749491482,Up-regulated
B4GALT5,1.76124123794378,0.000635420059496725,0.00152471633105414,2.81681094800065,Up-regulated
GNG8,1.76124123687643,0.0175980620544889,0.0294475177693209,1.53095130748199,Up-regulated
IDNK,1.7499669030283,1.84274764528227e-08,9.28034356298783e-08,7.0324359456833,Up-regulated
GGT1,1.74881871748002,1.54052111819049e-06,5.92944592452693e-06,5.22698588727032,Up-regulated
ST20-MTHFS,1.73654919641077,0.000257909094439861,0.000667946138823981,3.1752585563188,Up-regulated
GALNT12,1.73654862482571,0.000257910303364092,0.000667946138823981,3.1752585563188,Up-regulated
FUT4,1.71543185584136,0.00143195182299657,0.00316551684653612,2.4995553708684,Up-regulated
NME1,1.71007295091116,5.59711794873842e-14,4.73602287970174e-13,12.3245862082057,Up-regulated
PIP4K2B,1.7006166198311,3.79972937367124e-06,1.38352515522176e-05,4.85901294011921,Up-regulated
MTHFD1,1.69610193524524,1.18879640837341e-07,5.18702399478167e-07,6.28508174298826,Up-regulated
