gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
AGRN,2.41439764876041,1.14807071475447e-05,0.000128689355118141,3.89045737543166,Up-regulated
ACACB,2.29856605365685,0.00025893284969926,0.00211477870181887,2.67473507207491,Up-regulated
PGAP1,2.27285747221324,1.11607767456063e-13,2.88473253059966e-12,11.5398944479743,Up-regulated
CGA,2.02319297228774,0.46436068847249,0.758513332768819,0.120036780998495,NS.
PDE8A,1.96881256802323,9.35489781586125e-09,1.77178538805579e-07,6.75158888427048,Up-regulated
SREBF1,1.74791897956113,5.73610332035343e-06,7.04034580716005e-05,4.15240600869126,Up-regulated
CSF2RB,1.72125046507548,0.00010402993363596,0.000952307350825849,3.02122286335361,Up-regulated
LSS,1.63073683833633,0.00141655930823855,0.00915347294176496,2.038414097925,Up-regulated
ACAD11,1.59763664445608,0.00225001563250198,0.0137307275293849,1.8623064508458,Up-regulated
IDUA,1.58771920182483,5.87374070579537e-05,0.000589251521946687,3.22969928708587,Up-regulated
ADAT2,1.58771907488824,1.69417345826496e-11,3.75969604829102e-10,9.42484726408451,Up-regulated
FITM2,1.5748482770346,0.0329799372797975,0.120160733339494,0.920237429837877,NS.
PRKAB2,1.5746471504616,0.015236268130626,0.0658938603995775,1.18115504851373,NS.
DHCR24,1.57464699699781,0.0407803854385274,0.142213502870547,0.847059166308349,NS.
ME3,1.57464699326324,0.138858395937481,0.355976541277299,0.448578620930234,NS.
PDE3B,1.55562295588238,1.53593956980965e-11,3.47882395347607e-10,9.45856754824822,Up-regulated
INPPL1,1.55217414464023,0.00758338337916809,0.037355814538189,1.42764178942258,Up-regulated
SLC19A1,1.55217413751268,0.00432284162983782,0.0237432076518842,1.62446060924794,Up-regulated
IL4I1,1.5364257804471,0.0141203617193598,0.062169207810488,1.20642466658272,NS.
LCLAT1,1.53642571756852,0.000270869662349967,0.00219594335122833,2.65837886757635,Up-regulated
GANC,1.524003193468,0.000293361635823762,0.00234908141371673,2.62910193132149,Up-regulated
NUP188,1.50565412187488,6.19241289837528e-05,0.000610077629494641,3.21461489955302,Up-regulated
MBTPS2,1.50444273468724,0.0167130072253481,0.0711598389032747,1.14776504377386,NS.
SELENOI,1.49693800914688,5.56667423982071e-09,1.08229940751204e-07,6.96565257930084,Up-regulated
POP1,1.47384236953762,0.000871968584646394,0.00592726506366174,2.22714565094359,Up-regulated
NDST2,1.45484579351327,0.00497120900051262,0.0264449059906204,1.577657972522,Up-regulated
MED23,1.43511766608785,3.3580449053745e-08,5.85525766437126e-07,6.23245398876371,Up-regulated
ADCY7,1.41725481959494,1.11750287935762e-06,1.61523278022941e-05,4.7917648802158,Up-regulated
GGPS1,1.4075929086703,0.0551304092711963,0.179972524767932,0.744793790743617,NS.
MBOAT1,1.40759290865772,0.000134441807315046,0.00118130273773704,2.92763878953291,Up-regulated
SERINC5,1.38728764249913,8.60484952125288e-05,0.00081136714155333,3.09078258417301,Up-regulated
HS6ST1,1.3698525859259,0.1210141061055,0.319937414096009,0.494934969714811,NS.
