gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
RRM2,4.45646893977126,1.39311796693856e-31,5.67844188008166e-31,30.2457708149426,Up-regulated
TYMS,4.1776213020699,1.3204273373429801e-24,4.33629127076611e-24,23.3628815537211,Up-regulated
HMMR,3.98920677859631,4.51368532673775e-29,1.7097528729039398e-28,27.7670666578477,Up-regulated
TK1,3.92825504241646,6.672910919308769e-55,4.5388189751459304e-54,53.3430571381787,Up-regulated
GGH,3.46979741080309,4.02614913246183e-23,1.25824319260578e-22,21.9002354105607,Up-regulated
PYCR1,3.08680515833908,5.53769075752779e-13,1.14130455856366e-12,11.9425984480848,Up-regulated
APOBEC3B,2.99979378189225,1.59675809687437e-09,2.7215496810186e-09,8.56518373336774,Up-regulated
GZMH,2.84072907221316,1.0794405949784e-07,1.68074485270556e-07,6.7744982101015,Up-regulated
DHFR,2.83616435811107,7.94606346537634e-51,5.06014534302371e-50,49.2958370087004,Up-regulated
NAPSA,2.7586315692271,0.001987547889179,0.0023861435587575,2.62230343120185,Up-regulated
NME1,2.61680152956479,2.85095230056038e-54,1.92724375517881e-53,52.715063352893,Up-regulated
POLE2,2.5943286737856,1.2748241253287898e-11,2.4568321081994297e-11,10.609624520758,Up-regulated
TST,2.57234972974878,2.5892994263452098e-11,4.94238995628186e-11,10.3060629915968,Up-regulated
SUV39H2,2.55350669031229,2.67454800060685e-14,5.87598195733324e-14,13.2309195464152,Up-regulated
UCK2,2.54377639752592,1.05146287050161e-36,4.8735525875359596e-36,35.312154343367,Up-regulated
BYSL,2.51795569500246,5.88481176593505e-17,1.44943177687885e-16,15.83880222158,Up-regulated
SRR,2.51428596611362,3.9138929089121305e-15,8.883081323223101e-15,14.0514363619746,Up-regulated
PPARG,2.48896813123144,1.58821626684236e-06,2.30774546180732e-06,5.63681209440221,Up-regulated
IMPA2,2.42442961335148,2.81313472468007e-07,4.25358361329808e-07,6.37124502578677,Up-regulated
DTYMK,2.38964352173809,2.4839184501885698e-57,1.7833885081909498e-56,55.7487540361944,Up-regulated
TCN1,2.37118511872039,0.0110752983470463,0.0125489584674887,1.9013923180549,Up-regulated
ME3,2.30664660354861,2.56121034752724e-05,3.49251292094528e-05,4.45686197848941,Up-regulated
DHCR24,2.30664659215779,1.25227931381039e-08,2.04250753707604e-08,7.68983633219849,Up-regulated
EZH2,2.29551476096437,8.724185251602771e-44,4.72094458073185e-43,42.3259710977309,Up-regulated
PAICS,2.2753940507942,4.9219787081785e-38,2.34060329477666e-37,36.6306721879646,Up-regulated
DUT,2.25860242743393,6.2172123336776e-107,1.97959644885358e-105,104.70342333393,Up-regulated
MTHFD1L,2.25785643750206,1.6109505522839199e-22,4.8952397833579e-22,21.3102260303085,Up-regulated
HILPDA,2.23765372984669,1.01277261804581e-10,1.86197610196372e-10,9.73002589738899,Up-regulated
CHAC2,2.22112443004981,3.36660077041557e-21,9.65590325405093e-21,20.0152070942407,Up-regulated
METTL1,2.21963522434378,1.1209600364611702e-09,1.92252084317345e-09,8.7161289430604,Up-regulated
GSTM2,2.19744731057228,1.50365770179178e-07,2.31502170345938e-07,6.63544493309162,Up-regulated
PLEKHA5,2.18886357300223,3.9408174131735304e-09,6.6293842700936e-09,8.17852680651507,Up-regulated
RPP40,2.18148362558681,2.06380984699772e-12,4.1182472605395094e-12,11.3852875817918,Up-regulated
ACOT7,2.15761102217354,1.56447405804975e-25,5.27170169560629e-25,24.2780491726966,Up-regulated
NUDT1,2.13608086456342,1.26271114283876e-80,1.68131901867683e-79,78.7743498743619,Up-regulated
DCTPP1,2.12350839157823,8.16238914159735e-50,5.10905098122205e-49,48.2916597636413,Up-regulated
SCD,2.11249062642641,2.5779233940078e-06,3.71877721381164e-06,5.42959983877209,Up-regulated
RRM1,2.11197472410034,1.12552797159516e-39,5.58190734445728e-39,38.2532173767555,Up-regulated
SEPHS1,2.11090202602349,2.3580789752998498e-26,8.18435941348147e-26,25.0870153069762,Up-regulated
GLUL,2.083503050019,2.8771894185407504e-09,4.8699423363128e-09,8.31247618111995,Up-regulated
MTHFD1,2.08350304862148,4.00475257225744e-36,1.81785979364661e-35,34.7404396157201,Up-regulated
HADH,2.06741691119323,1.32552307470131e-38,6.37237241820302e-38,37.1956988508175,Up-regulated
SQLE,2.06433313391193,4.63221233548553e-27,1.6656252865894799e-26,25.7784226945681,Up-regulated
SORD,2.05533217305237,6.455023080440971e-10,1.1291151041185401e-09,8.94726178302149,Up-regulated
GAPDH,2.05435682477316,1.15926766665392e-165,4.24485177273112e-163,162.372137470416,Up-regulated
CTPS1,2.0517543511788,1.23817215874244e-18,3.26562332864003e-18,17.4860339101465,Up-regulated
HYAL3,2.04428233650777,8.80918851488347e-10,1.52392024938575e-09,8.81703776013419,Up-regulated
PKM,2.03710943977395,1.2050730427101601e-113,5.75553364094395e-112,111.239914403299,Up-regulated
PXMP2,2.03698303438542,2.18044883858413e-14,4.8048606804105604e-14,13.3183192004213,Up-regulated
PCBD2,2.03635627085559,1.60235492447208e-15,3.70956140049015e-15,14.4306774361012,Up-regulated
PSMA2,2.03170355375616,5.94726525921425e-81,8.01603789846239e-80,79.0960402382016,Up-regulated
COQ3,2.02793319933864,1.62021018484253e-10,2.93212666894485e-10,9.53281727194513,Up-regulated
ACAT1,2.01896452934878,2.09446385861293e-27,7.59329554021882e-27,26.1195696965282,Up-regulated
GGCT,2.01529480222366,1.57215648570797e-66,1.43320655564332e-65,64.843691213991,Up-regulated
CBR3,2.00383562731151,3.3113671324889997e-13,6.89580435078515e-13,12.1614150689031,Up-regulated
POLA1,2.00126495178267,3.71770801102304e-07,5.58673358428018e-07,6.25284203843682,Up-regulated
RIDA,1.99916190299888,1.46857218532787e-17,3.71351050959047e-17,16.4302153426517,Up-regulated
GCSH,1.99838543686841,4.46300672242409e-13,9.22410702649645e-13,12.0350756666037,Up-regulated
RPL39L,1.98819286974275,1.15113455786679e-36,5.3243002602807e-36,35.2737374607657,Up-regulated
CACNB2,1.98573888123437,0.0004613661810152,0.0005775621080857,3.23840130710926,Up-regulated
PRIM2,1.97179905994125,7.543386100089711e-23,2.3341998960418497e-22,21.6318619546186,Up-regulated
POC1B-GALNT4,1.97017501516666,2.42746144481653e-07,3.68310275846818e-07,6.43378616417166,Up-regulated
FADS1,1.9701743641297,0.0006589139060052,0.0008155683670385,3.08853962728699,Up-regulated
KMT5A,1.96572001486057,1.52725436682784e-11,2.9355886648475595e-11,10.5323047979051,Up-regulated
