cluster,sum_value,P.Val,Sig,adj.P,-log(adj.P),FC,log2FC
9,14.1331971084918,6.48371272199901e-14,Sig,3.56604199709946e-13,12.447813546466,2.45880412553371,1.297956810828
19,13.216205549274,2.76358902004942e-56,Sig,6.07989584410872e-55,54.2161038606477,2.29927174148951,1.20117698233778
4,11.9341241579112,1.26527379003638e-44,Sig,9.27867446026679e-44,43.0325140621119,2.07622334061079,1.05396164362869
11,11.296530889693,2.26777538579695e-12,Sig,9.97821169750657e-12,11.0009472863175,1.96529890176846,0.974748748262522
8,9.80136706492852,1.30424350104879e-09,Sig,4.78222617051223e-09,8.32036988821968,1.70517976860568,0.769923843416239
18,9.75762624670094,3.36656895726429e-48,Sig,3.70322585299072e-47,46.4314198003145,1.69757001806681,0.763471081176637
5,6.25256270459718,0.00325891359458571,Sig,0.0089620123851107,2.04759446024651,1.08778126104139,0.121388478152934
15,6.19521571762676,0.0031465143471814,Sig,0.0089620123851107,2.04759446024651,1.07780439543431,0.108095375360756
12,5.77810325636895,0.472893146269082,N.S.,1,0,1.00523781105292,0.00753684293745504
16,5.72351082529383,0.5645588450437,N.S.,1,0,0.995740165635536,-0.00615876891342309
42,4.83883574366463,0.958423391656835,N.S.,1,0,0.841829997697683,-0.248399175421506
39,3.97016350824514,1,N.S.,1,0,0.690703903595259,-0.533860717652163
23,3.88567698620777,1,N.S.,1,0,0.676005473555487,-0.56489316696069
41,3.79674067022313,0.999999999999995,N.S.,1,0,0.660532896545902,-0.598297681027982
38,3.6967277959946,1,N.S.,1,0,0.643133290082347,-0.636810326210424
24,3.68778340962545,1,N.S.,1,0,0.641577202387821,-0.640305216477291
32,2.97077239819006,1,N.S.,1,0,0.516836167543614,-0.952221063342232
26,2.87166751227514,1,N.S.,1,0,0.499594527136452,-1.00117042201745
35,2.7010929604908,1,N.S.,1,0,0.46991904688815,-1.08951585025074
31,2.52269383005826,1,N.S.,1,0,0.438882296000724,-1.18809402014916
27,2.3556113611023,1,N.S.,1,0,0.409814346207084,-1.2869576058053
34,2.20806416680391,1,N.S.,1,0,0.384145019778895,-1.38027704482803
