geneSet	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
KEGG_HUNTINGTONS_DISEASE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HUNTINGTONS_DISEASE	172	75	20.402199528672426	3.676074233790236	0	0	1351;29796;1349;1347;1345;1340;1329;1327;1337;7388;7386;7384;10975;27089;9167;9377;1537;6390;6391;4698;4697;374291;539;10476;4695;4694;513;518;517;516;515;514;498;522;506;509;4709;4707;4708;4706;4704;4701;4702;4700;4716;4728;4717;4718;4729;4712;4724;4713;4723;4714;4726;4715;4720;4710;4722;4711;5436;5437;5434;5435;5438;5439;5440;5441;548644;7157;7416;2776;3065;3066;54205	GNAQ;COX5A;TP53;NDUFB1;ATP5MC3;NDUFB3;ATP5PF;NDUFB6;NDUFA9;NDUFAB1;NDUFC2;ATP5F1A;NDUFS4;ATP5MC1;COX8A;HDAC2;UQCRC1;NDUFA6;NDUFA2;POLR2G;POLR2H;NDUFS3;ATP5PB;ATP5F1C;NDUFA8;NDUFS6;COX6C;VDAC1;UQCRQ;NDUFV2;COX6A1;NDUFA7;UQCRH;NDUFB10;ATP5PD;NDUFB7;CYC1;HDAC1;NDUFC1;POLR2J;SDHC;NDUFB5;COX6B1;NDUFS8;COX7A2;NDUFS2;NDUFB8;NDUFB9;ATP5PO;NDUFB4;UQCRFS1;NDUFV1;COX7A2L;POLR2E;NDUFB2;ATP5F1D;ATP5F1B;POLR2F;NDUFA4;ATP5MC2;COX5B;COX7B;NDUFS7;UQCR10;POLR2I;SDHB;NDUFA1;POLR2K;COX4I1;CYCS;NDUFA5;ATP5F1E;POLR2L;UQCR11;POLR2J3
KEGG_ALZHEIMERS_DISEASE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALZHEIMERS_DISEASE	157	65	18.622937941869598	3.4903193149702623	0	0	1351;29796;1349;1347;1345;1340;1329;1327;1337;7388;7386;7384;10975;27089;9167;9377;1537;2597;6390;6391;4698;4697;374291;539;10476;4695;4694;513;518;517;516;515;514;498;522;506;509;4709;4707;4708;4706;4704;4701;4702;4700;4716;4728;4717;4718;4729;4712;4724;4713;4723;4714;4726;4715;4720;4710;4722;4711;3028;11261;2776;54205	GNAQ;COX5A;NDUFB1;ATP5MC3;GAPDH;NDUFB3;ATP5PF;HSD17B10;NDUFB6;NDUFA9;NDUFAB1;NDUFC2;ATP5F1A;NDUFS4;ATP5MC1;COX8A;UQCRC1;NDUFA6;NDUFA2;NDUFS3;ATP5PB;ATP5F1C;CHP1;NDUFA8;NDUFS6;COX6C;UQCRQ;NDUFV2;COX6A1;NDUFA7;UQCRH;NDUFB10;ATP5PD;NDUFB7;CYC1;NDUFC1;SDHC;NDUFB5;COX6B1;NDUFS8;COX7A2;NDUFS2;NDUFB8;NDUFB9;ATP5PO;NDUFB4;UQCRFS1;NDUFV1;COX7A2L;NDUFB2;ATP5F1D;ATP5F1B;NDUFA4;ATP5MC2;COX5B;COX7B;NDUFS7;UQCR10;SDHB;NDUFA1;COX4I1;CYCS;NDUFA5;ATP5F1E;UQCR11
KEGG_SPLICEOSOME	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_SPLICEOSOME	126	60	14.945797329143755	4.0145064648375905	0	0	6634;6628;6632;23658;11157;51690;51691;25804;27258;57819;27339;220988;10713;8683;10907;11338;84991;5356;55110;9879;55660;84321;4809;8175;10189;988;83443;9410;26121;56259;8449;84950;3183;9785;57461;6637;6635;6636;6633;9092;3178;9128;10262;10465;8896;84844;10772;6431;6626;6627;4670;6629;22827;6625;5093;51645;51639;6428;6631;6426	ALYREF;MAGOHB;LSM5;SNRPE;LSM4;PPIL1;SNRPC;SNRPA1;LSM3;SNRPD1;PPIH;PRPF4;SNRPF;LSM2;LSM7;SART1;SNRPB;SNRPD3;SNRPG;SNRNP40;PRPF19;USP39;SNRPA;PHF5A;RBM17;TXNL4A;LSM6;SF3B6;SF3B5;PRPF38A;HNRNPC;DHX16;SRSF1;SRSF9;THOC3;PCBP1;ISY1;HNRNPA3;DHX38;SRSF3;SNRPD2;SF3A2;PUF60;PRPF40A;BUD31;U2AF2;PRPF31;SNRNP70;HNRNPM;CDC5L;SNRPB2;SNU13;HNRNPA1;SRSF10;DDX46;CTNNBL1;PLRG1;SF3B4;SRSF6;LSM8
KEGG_OXIDATIVE_PHOSPHORYLATION	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_OXIDATIVE_PHOSPHORYLATION	116	72	13.75962293794187	5.232701530029687	0	0	533;1351;29796;1349;1347;1345;1340;1329;1327;1337;7388;7386;7384;10975;27089;9167;9377;1537;6390;6391;4698;4697;9551;374291;539;10476;4695;4694;513;64077;518;517;516;515;514;51382;498;522;521;529;10063;506;509;9296;4709;4707;4708;4706;4704;4701;4702;4700;5464;10632;126328;4716;4728;4717;4718;4729;4712;4724;4713;4723;4714;4726;4715;4720;4710;4722;4711;1353	COX5A;NDUFB1;ATP5MC3;LHPP;NDUFB3;ATP5PF;NDUFB6;NDUFA9;NDUFAB1;NDUFC2;ATP5F1A;NDUFS4;ATP5MC1;COX8A;UQCRC1;NDUFA6;NDUFA2;NDUFS3;PPA1;ATP5PB;ATP5F1C;NDUFA8;NDUFS6;NDUFA11;COX6C;UQCRQ;ATP5MF;NDUFV2;COX6A1;NDUFA7;UQCRH;NDUFB10;ATP5PD;NDUFB7;CYC1;NDUFC1;ATP5MG;ATP6V1D;SDHC;NDUFB5;COX6B1;NDUFS8;COX7A2;NDUFS2;NDUFB8;NDUFB9;ATP6V0B;ATP5PO;ATP6V1F;NDUFB4;UQCRFS1;NDUFV1;COX7A2L;NDUFB2;ATP5F1D;COX11;ATP5F1B;NDUFA4;ATP5MC2;COX5B;COX7B;NDUFS7;UQCR10;ATP5ME;SDHB;NDUFA1;COX4I1;COX17;NDUFA5;ATP5F1E;UQCR11;ATP6V1E1
KEGG_PARKINSONS_DISEASE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE	112	62	13.285153181461116	4.666863765373699	0	0	1351;29796;1349;1347;1345;1340;1329;1327;1337;7388;7386;7384;10975;27089;9167;9377;1537;6390;6391;4698;4697;374291;539;10476;4695;4694;513;518;517;516;515;514;498;522;506;509;4709;4707;4708;4706;4704;4701;4702;4700;4716;4728;4717;4718;4729;4712;4724;4713;4723;4714;4726;4715;4720;4710;4722;4711;7416;54205	COX5A;NDUFB1;ATP5MC3;NDUFB3;ATP5PF;NDUFB6;NDUFA9;NDUFAB1;NDUFC2;ATP5F1A;NDUFS4;ATP5MC1;COX8A;UQCRC1;NDUFA6;NDUFA2;NDUFS3;ATP5PB;ATP5F1C;NDUFA8;NDUFS6;COX6C;VDAC1;UQCRQ;NDUFV2;COX6A1;NDUFA7;UQCRH;NDUFB10;ATP5PD;NDUFB7;CYC1;NDUFC1;SDHC;NDUFB5;COX6B1;NDUFS8;COX7A2;NDUFS2;NDUFB8;NDUFB9;ATP5PO;NDUFB4;UQCRFS1;NDUFV1;COX7A2L;NDUFB2;ATP5F1D;ATP5F1B;NDUFA4;ATP5MC2;COX5B;COX7B;NDUFS7;UQCR10;SDHB;NDUFA1;COX4I1;CYCS;NDUFA5;ATP5F1E;UQCR11
KEGG_PYRIMIDINE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PYRIMIDINE_METABOLISM	97	46	11.505891594658287	3.997951799003209	0	0	5436;5437;5434;5435;5438;5439;54107;51082;87178;5440;10714;5441;23649;124583;4830;4831;10621;318;5557;5558;5422;5424;5425;5426;64425;51728;171568;548644;25885;3704;9533;6240;661;6241;84265;955;29922;7298;1841;1503;790;1854;7372;7371;7083;7084	TYMS;RRM2;TK1;NME1;DTYMK;POLA1;DUT;POLD1;POLE;RRM1;NME2;POLD2;NUDT2;UCK2;CTPS1;POLR2G;POLR2H;POLD3;POLR3K;ITPA;POLR1C;POLA2;CAD;POLR2J;POLE3;UMPS;POLR1E;POLR2E;POLR1A;CANT1;POLR3F;POLR2F;POLR3H;POLR1D;PRIM2;NME7;PRIM1;POLR2I;ENTPD6;POLR2K;POLR3D;PNPT1;TK2;POLR2L;POLR2J3;POLR3GL
KEGG_PROTEASOME	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PROTEASOME	44	34	5.219167321288295	6.5144491270319085	0	0	5717;5718;5719;5682;5710;9861;5713;5686;5714;5685;5684;5683;10197;5708;5709;5707;5704;5691;5705;10213;5690;5702;5693;5721;5692;7979;5700;5695;5701;5694;5696;5687;5688;5689	PSMC3;PSMA2;PSMA4;PSMB7;PSMD14;PSMB2;PSMD11;PSMC5;PSMC4;PSMB5;PSMC1;PSMB3;PSMB6;PSMD8;PSMD3;PSMC2;SEM1;PSMD7;PSMD1;PSMD2;PSMA5;PSMB1;PSMA6;PSMA1;PSMD13;PSMB8;PSMA7;PSMD6;PSME2;PSMB4;PSME3;PSMD4;PSMA3;PSMD12
KEGG_PURINE_METABOLISM	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PURINE_METABOLISM	156	56	18.50432050274941	3.0263202581083375	1.7763568394002505e-15	3.6637359812630166e-14	100;5315;5634;5436;5437;5434;5435;5438;5439;54107;158;51082;87178;5440;10714;5441;204;23649;124583;4830;471;4831;1716;10621;318;51292;5147;5557;5558;5422;5424;5425;5426;64425;10606;8833;51728;3251;2618;3615;171568;548644;25885;132;3704;9533;6240;661;6241;84265;955;11164;5198;353;5471;29922	RRM2;NME1;POLA1;PFAS;PAICS;POLD1;POLE;RRM1;NME2;POLD2;NUDT2;ADSL;IMPDH2;PKM;HPRT1;ADA;NUDT5;PPAT;POLR2G;POLR2H;POLD3;POLR3K;ITPA;PRPS2;PDE6D;POLR1C;POLA2;DGUOK;POLR2J;GMPS;POLE3;POLR1E;POLR2E;POLR1A;CANT1;POLR3F;POLR2F;AK2;POLR3H;POLR1D;GART;PRIM2;NME7;PRIM1;ATIC;POLR2I;APRT;ENTPD6;ADK;GMPR2;POLR2K;POLR3D;PNPT1;POLR2L;POLR2J3;POLR3GL
KEGG_RNA_POLYMERASE	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_RNA_POLYMERASE	28	18	3.321288295365279	5.419583727530747	7.109712818476055e-11	1.3034473500539434e-9	5436;5437;5434;5435;5438;5439;51082;5440;5441;10621;64425;51728;171568;548644;25885;9533;661;84265	POLR2G;POLR2H;POLR3K;POLR1C;POLR2J;POLR1E;POLR2E;POLR1A;POLR3F;POLR2F;POLR3H;POLR1D;POLR2I;POLR2K;POLR3D;POLR2L;POLR2J3;POLR3GL
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	21	5.219167321288295	4.023630343166767	3.6824998606022064e-9	5.965199001423116e-8	223;586;587;1738;35;34;39;38;10449;3033;3032;3030;1892;30;18;3028;1629;4329;3155;594;593	BCAT1;HADH;ABAT;DBT;HSD17B10;ACAT2;ACAA2;BCKDHB;BCKDHA;ACADS;ALDH6A1;HMGCL;BCAT2;ACAT1;ACAA1;HADHB;ECHS1;ACADM;HADHA;ALDH9A1;DLD
